,Date,Temp,Prcp,Snow
0,2017-01-01,31.5,0.0,0.0
1,2017-01-02,36.0,0.24,0.0
2,2017-01-03,31.5,0.02,0.0
3,2017-01-04,15.5,0.0,0.0
4,2017-01-05,10.0,0.0,0.0
5,2017-01-06,5.5,0.0,0.0
6,2017-01-07,10.5,0.0,0.0
7,2017-01-08,12.0,0.0,0.0
8,2017-01-09,27.0,0.02,0.2
9,2017-01-10,39.5,0.2,0.0
10,2017-01-11,36.0,0.54,0.0
11,2017-01-12,26.5,0.11,0.2
12,2017-01-13,23.5,0.0,0.0
13,2017-01-14,30.0,0.0,0.0
14,2017-01-15,28.5,0.0,0.0
15,2017-01-16,36.0,0.57,0.0
16,2017-01-17,36.5,0.5,0.0
17,2017-01-18,34.0,0.0,0.0
18,2017-01-19,37.0,0.78,0.0
19,2017-01-20,42.0,0.21,0.0
20,2017-01-21,50.0,0.0,0.0
21,2017-01-22,43.0,0.0,0.0
22,2017-01-23,41.0,0.0,0.0
23,2017-01-24,37.5,0.0,0.0
24,2017-01-25,39.5,0.09,0.0
25,2017-01-26,33.5,0.02,0.1
26,2017-01-27,28.5,0.0,0.0
27,2017-01-28,28.0,0.0,0.0
28,2017-01-29,26.0,0.0,0.1
29,2017-01-30,28.0,0.0,0.0
30,2017-01-31,39.5,0.02,0.0
31,2017-02-01,31.0,0.0,0.0
32,2017-02-02,20.0,0.0,0.0
33,2017-02-03,22.0,0.0,0.0
34,2017-02-04,25.0,0.0,0.0
35,2017-02-05,35.0,0.0,0.0
36,2017-02-06,41.0,0.0,0.0
37,2017-02-07,43.5,0.55,0.0
38,2017-02-08,27.0,0.0,0.1
39,2017-02-09,19.5,0.0,0.0
40,2017-02-10,31.0,0.0,0.0
41,2017-02-11,45.0,0.0,0.0
42,2017-02-12,40.5,0.0,0.0
43,2017-02-13,36.0,0.0,0.0
44,2017-02-14,42.5,0.0,0.0
45,2017-02-15,32.0,0.0,0.0
46,2017-02-16,36.5,0.0,0.0
47,2017-02-17,49.5,0.0,0.0
48,2017-02-18,57.5,0.0,0.0
49,2017-02-19,52.5,0.0,0.0
50,2017-02-20,58.0,0.0,0.0
51,2017-02-21,59.0,0.16,0.0
52,2017-02-22,59.5,0.0,0.0
53,2017-02-23,48.5,0.16,0.0
54,2017-02-24,38.5,0.11,0.0
55,2017-02-25,28.5,0.0,0.0
56,2017-02-26,36.5,0.0,0.0
57,2017-02-27,43.5,0.0,0.0
58,2017-02-28,53.0,1.73,0.0
59,2017-03-01,43.0,0.09,0.0
60,2017-03-02,31.5,0.0,0.0
61,2017-03-03,27.0,0.0,0.0
62,2017-03-04,35.5,0.01,0.2
63,2017-03-05,47.0,0.0,0.0
64,2017-03-06,58.0,0.0,0.0
65,2017-03-07,54.0,0.25,0.0
66,2017-03-08,46.0,0.0,0.0
67,2017-03-09,37.5,0.0,0.0
68,2017-03-10,30.0,0.0,0.0
69,2017-03-11,24.0,0.0,0.0
70,2017-03-12,28.0,0.01,0.1
71,2017-03-13,28.5,0.18,2.9
72,2017-03-14,24.5,0.27,6.3
73,2017-03-15,25.0,0.0,0.0
74,2017-03-16,30.5,0.0,0.0
75,2017-03-17,42.5,0.03,0.0
76,2017-03-18,40.5,0.0,0.0
77,2017-03-19,42.0,0.0,0.0
78,2017-03-20,47.5,0.62,0.0
